Iteration,Accuracy,F1 Score
1,0.2222222222222222,0.2222222222222222
2,0.21493055555555557,0.21493055555555557
3,0.5411458333333333,0.5411458333333333
4,0.6621527777777778,0.6621527777777778
5,0.7328125,0.7328124999999999
6,0.7765625,0.7765625
7,0.7973958333333333,0.7973958333333333
8,0.8243055555555555,0.8243055555555555
9,0.8329861111111111,0.8329861111111111
10,0.8526041666666667,0.8526041666666667
11,0.8154513888888889,0.8154513888888889
12,0.8237847222222222,0.8237847222222222
13,0.8342013888888888,0.834201388888889
14,0.8291666666666667,0.8291666666666667
15,0.8201388888888889,0.8201388888888889
