python .\avg_confidenceDataLoadFix.py
Using cache found in C:\Users\localuserSG/.cache\torch\hub\facebookresearch_dinov2_main
C:\Users\localuserSG/.cache\torch\hub\facebookresearch_dinov2_main\dinov2\layers\swiglu_ffn.py:51: UserWarning: xFormers is not available (SwiGLU)
  warnings.warn("xFormers is not available (SwiGLU)")
C:\Users\localuserSG/.cache\torch\hub\facebookresearch_dinov2_main\dinov2\layers\attention.py:33: UserWarning: xFormers is not available (Attention)
  warnings.warn("xFormers is not available (Attention)")
C:\Users\localuserSG/.cache\torch\hub\facebookresearch_dinov2_main\dinov2\layers\block.py:40: UserWarning: xFormers is not available (Block)
  warnings.warn("xFormers is not available (Block)")
  epoch    train_f1    train_loss    valid_acc    valid_f1    valid_loss     dur
-------  ----------  ------------  -----------  ----------  ------------  ------
      1      0.3333        0.7148       0.2986      0.4283        0.6903  7.3290
      2      0.4444        0.7221       0.2901      0.4384        0.6903  6.9851
      3      0.1905        0.7079       0.2806      0.4489        0.6906  6.9364
      4      0.4071        0.6978       0.2849      0.4483        0.6899  6.9763
      5      0.5000        0.7208       0.2734      0.4606        0.6906  6.9938
      6      0.6571        0.6934       0.2663      0.1377        0.6908  6.9843
      7      0.3810        0.6923       0.2630      0.1433        0.6907  7.0462
      8      0.1333        0.7027       0.2564      0.1508        0.6910  7.0736
      9      0.3333        0.6901       0.2495      0.1578        0.6915  7.0671
     10      0.6667        0.7004       0.2427      0.1643        0.6919  7.1308
     11      0.4167        0.6888       0.2405      0.1687        0.6918  7.1701
     12      0.7222        0.6854       0.2406      0.1795        0.6917  7.1631
     13      0.8571        0.7074       0.2370      0.1892        0.6920  7.1618
     14      0.7524        0.7085       0.2252      0.1969        0.6922  7.1621
     15      0.5000        0.6784       0.2163      0.1994        0.6926  7.1641
     16      0.5302        0.6751       0.2108      0.2040        0.6929  7.1680
Stopping since valid_loss has not improved in the last 13 epochs.

Query 1: Using the exact images and labels from the CSV for this iteration.
Re-initializing module.
Re-initializing criterion.
Re-initializing optimizer.
  epoch    train_f1    train_loss    valid_acc    valid_f1    valid_loss     dur
-------  ----------  ------------  -----------  ----------  ------------  ------
      1      0.4296        0.6889       0.1892      0.2113        0.6939  7.2222
      2      0.4184        0.6886       0.1806      0.2169        0.6943  7.2303
      3      0.2298        0.7075       0.1655      0.2312        0.6948  7.2622
      4      0.4952        0.6728       0.1549      0.2379        0.6953  7.2494
      5      0.3095        0.6973       0.1439      0.2474        0.6956  7.2668
      6      0.4606        0.6751       0.1411      0.2478        0.6959  7.2587
      7      0.3988        0.6772       0.1385      0.2554        0.6959  7.2964
      8      0.3869        0.6880       0.1316      0.2639        0.6962  7.2630
      9      0.5389        0.6821       0.1250      0.2688        0.6963  7.2844
     10      0.4519        0.6911       0.1250      0.2738        0.6960  7.2759
     11      0.3312        0.6772       0.1241      0.2749        0.6961  7.2962
     12      0.4288        0.6911       0.1201      0.2767        0.6961  7.2843
     13      0.3651        0.6823       0.1184      0.2791        0.6962  7.3120
Stopping since valid_loss has not improved in the last 13 epochs.
Accuracy after query 1: 0.09010416666666667
F1 Score after query 1: 0.2829898986560244

Query 2: Using the exact images and labels from the CSV for this iteration.
Re-initializing module.
Re-initializing criterion.
Re-initializing optimizer.
  epoch    train_f1    train_loss    valid_acc    valid_f1    valid_loss     dur
-------  ----------  ------------  -----------  ----------  ------------  ------
      1      0.4591        0.6806       0.1158      0.2868        0.6961  7.3229
      2      0.4170        0.6878       0.1167      0.2905        0.6957  7.3233
      3      0.3692        0.6917       0.1151      0.2949        0.6953  7.3603
      4      0.4375        0.6803       0.1125      0.2984        0.6950  7.3361
      5      0.4158        0.6865       0.1132      0.3023        0.6946  7.3659
      6      0.4932        0.6764       0.1148      0.3042        0.6940  7.3484
      7      0.5129        0.6808       0.1153      0.3054        0.6935  7.3591
      8      0.7189        0.6856       0.1177      0.3083        0.6930  7.3606
      9      0.5538        0.6767       0.1198      0.3141        0.6925  7.3883
     10      0.3727        0.6800       0.1219      0.3194        0.6922  7.3546
     11      0.4215        0.6781       0.1236      0.3225        0.6918  7.3683
     12      0.4265        0.6801       0.1252      0.3256        0.6915  7.3610
     13      0.4806        0.6797       0.1253      0.3331        0.6914  7.3605
     14      0.4802        0.6756       0.1280      0.3407        0.6912  7.3574
     15      0.3526        0.6844       0.1302      0.3466        0.6908  7.3191
     16      0.4494        0.6861       0.1300      0.3531        0.6906  7.3209
     17      0.4438        0.6767       0.1311      0.3604        0.6903  7.3213
     18      0.4192        0.6759       0.1333      0.3627        0.6898  7.3175
     19      0.4680        0.6831       0.1333      0.3632        0.6897  7.3552
     20      0.3809        0.6846       0.1354      0.3701        0.6891  7.3469
     21      0.4503        0.6807       0.1391      0.3775        0.6888  7.3714
     22      0.4887        0.6696       0.1396      0.3835        0.6886  7.3475
     23      0.4651        0.6811       0.1396      0.3868        0.6884  7.3391
     24      0.4242        0.6791       0.1406      0.3892        0.6881  7.3282
     25      0.5057        0.6726       0.1431      0.3930        0.6878  7.3459
     26      0.5204        0.6757       0.1460      0.3981        0.6874  7.3401
     27      0.4990        0.6616       0.1446      0.4029        0.6872  7.3694
     28      0.5211        0.6767       0.1490      0.4062        0.6867  7.3353
     29      0.4111        0.6761       0.1528      0.4103        0.6863  7.3512
     30      0.4183        0.6754       0.1561      0.4087        0.6859  7.3452
     31      0.4614        0.6687       0.1628      0.4133        0.6855  7.3125
     32      0.3753        0.6813       0.1663      0.4132        0.6848  7.3027
     33      0.5396        0.6716       0.1691      0.4161        0.6844  7.3328
     34      0.5010        0.6698       0.1708      0.4192        0.6840  7.3296
     35      0.5473        0.6665       0.1740      0.4224        0.6836  7.3363
     36      0.4741        0.6670       0.1757      0.4246        0.6833  7.3647
     37      0.4508        0.6797       0.1773      0.4283        0.6831  7.3444
     38      0.3994        0.6806       0.1781      0.4317        0.6829  7.3637
     39      0.4905        0.6680       0.1809      0.4346        0.6826  7.3360
     40      0.5223        0.6676       0.1825      0.4347        0.6823  7.3431
     41      0.5032        0.6670       0.1830      0.4372        0.6820  7.3451
     42      0.4454        0.6644       0.1830      0.4380        0.6818  7.3552
     43      0.5012        0.6732       0.1825      0.4398        0.6816  7.3394
     44      0.4934        0.6654       0.1832      0.4421        0.6812  7.3613
     45      0.4754        0.6704       0.1842      0.4435        0.6808  7.3725
     46      0.5527        0.6662       0.1845      0.4432        0.6802  7.3580
     47      0.6233        0.6521       0.1866      0.4410        0.6797  7.3327
     48      0.4998        0.6722       0.1866      0.4406        0.6793  7.3206
     49      0.5019        0.6700       0.1889      0.4367        0.6787  7.3334
     50      0.5636        0.6598       0.1877      0.4339        0.6784  7.3316
     51      0.4605        0.6655       0.1859      0.4362        0.6783  7.3257
     52      0.5777        0.6564       0.1865      0.4337        0.6778  7.3660
     53      0.5725        0.6555       0.1847      0.4338        0.6776  7.3562
     54      0.5288        0.6612       0.1837      0.4322        0.6774  7.3376
     55      0.5671        0.6578       0.1839      0.4308        0.6771  7.3687
     56      0.5775        0.6591       0.1811      0.4297        0.6770  7.3561
     57      0.4893        0.6625       0.1816      0.4291        0.6768  7.3497
     58      0.6309        0.6539       0.1826      0.4273        0.6764  7.3552
     59      0.5583        0.6551       0.1804      0.4284        0.6764  7.3530
     60      0.4370        0.6709       0.1806      0.4290        0.6763  7.3380
     61      0.5438        0.6636       0.1826      0.4282        0.6758  7.3366
     62      0.5493        0.6582       0.1818      0.4286        0.6757  7.3379
     63      0.5121        0.6628       0.1809      0.4300        0.6756  7.3422
     64      0.5503        0.6639       0.1821      0.4288        0.6753  7.3190
     65      0.6573        0.6474       0.1852      0.4273        0.6749  7.3296
     66      0.5540        0.6592       0.1875      0.4264        0.6746  7.3088
     67      0.6173        0.6443       0.1875      0.4254        0.6744  7.3212
     68      0.5534        0.6611       0.1866      0.4264        0.6744  7.3531
     69      0.5782        0.6500       0.1854      0.4268        0.6742  7.3257
     70      0.5838        0.6481       0.1863      0.4271        0.6740  7.3231
     71      0.6047        0.6632       0.1880      0.4273        0.6734  7.3293
     72      0.6012        0.6606       0.1873      0.4270        0.6732  7.3345
     73      0.5610        0.6513       0.1889      0.4262        0.6729  7.3571
     74      0.5753        0.6536       0.1920      0.4254        0.6726  7.3259
     75      0.5700        0.6462       0.1924      0.4255        0.6725  7.3508
     76      0.6134        0.6494       0.1941      0.4241        0.6722  7.3490
     77      0.5500        0.6457       0.1932      0.4225        0.6723  7.3478
