Iteration,Accuracy,F1 Score
1,0.2595486111111111,0.3950693135065441
2,0.3776041666666667,0.25385692347009625
3,0.4986111111111111,0.49242811256030256
4,0.7118055555555556,0.798645376117945
5,0.7008680555555555,0.8118153585462725
6,0.7157986111111111,0.8336100013857631
7,0.7446180555555556,0.8483991719697167
8,0.7762152777777778,0.8728462083707841
9,0.8057291666666667,0.8926752276968499
10,0.815625,0.9024183826633578
11,0.8166666666666667,0.9026063565302044
12,0.8130208333333333,0.9034498267992733
13,0.8192708333333333,0.9015247204260217
14,0.8321180555555555,0.9118241249393889
