Iteration,Accuracy,F1 Score
1,0.2586805555555556,0.239218096666488
2,0.3482638888888889,0.1985262245340269
3,0.4769097222222222,0.28435795975030453
4,0.6065972222222222,0.5944635896702124
5,0.7282986111111112,0.8319845599629438
6,0.7418402777777777,0.8543541270269405
7,0.7765625,0.8712314139659778
8,0.7901041666666667,0.879599580040897
9,0.8121527777777777,0.8952619016269266
10,0.8197916666666667,0.8899471707916029
11,0.8258680555555555,0.9033850263823987
12,0.8375,0.9120704906053098
13,0.8392361111111111,0.9142295045092058
14,0.8381944444444445,0.9116946189568372
