python .\avg_confidenceDataLoadFix.py
Using cache found in C:\Users\localuserSG/.cache\torch\hub\facebookresearch_dinov2_main
C:\Users\localuserSG/.cache\torch\hub\facebookresearch_dinov2_main\dinov2\layers\swiglu_ffn.py:51: UserWarning: xFormers is not available (SwiGLU)
  warnings.warn("xFormers is not available (SwiGLU)")
C:\Users\localuserSG/.cache\torch\hub\facebookresearch_dinov2_main\dinov2\layers\attention.py:33: UserWarning: xFormers is not available (Attention)
  warnings.warn("xFormers is not available (Attention)")
C:\Users\localuserSG/.cache\torch\hub\facebookresearch_dinov2_main\dinov2\layers\block.py:40: UserWarning: xFormers is not available (Block)
  warnings.warn("xFormers is not available (Block)")
  epoch    train_f1    train_loss    valid_acc    valid_f1    valid_loss     dur
-------  ----------  ------------  -----------  ----------  ------------  ------
      1      0.3175        0.6885       0.0722      0.2568        0.6561  7.5002
      2      0.3556        0.7174       0.0720      0.2641        0.6566  6.9937
      3      0.4127        0.6969       0.0727      0.2652        0.6567  7.0137
      4      0.4963        0.7117       0.0743      0.2772        0.6570  7.0648
      5      0.4630        0.6667       0.0818      0.2867        0.6565  7.0904
      6      0.4333        0.6857       0.0816      0.2861        0.6568  7.1028
      7      0.4500        0.6992       0.0840      0.2890        0.6572  7.1193
      8      0.3333        0.6650       0.0901      0.3017        0.6567  7.1451
      9      0.3778        0.6625       0.0927      0.3125        0.6572  7.1315
     10      0.4222        0.6915       0.0964      0.3188        0.6574  7.1780
     11      0.4222        0.7075       0.0948      0.3166        0.6585  7.1869
     12      0.3056        0.7054       0.0939      0.3196        0.6589  7.1591
     13      0.5535        0.6788       0.0977      0.3204        0.6588  7.1983
Stopping since valid_loss has not improved in the last 13 epochs.

Query 1: Using the exact images and labels from the CSV for this iteration.
Re-initializing module.
Re-initializing criterion.
Re-initializing optimizer.
  epoch    train_f1    train_loss    valid_acc    valid_f1    valid_loss     dur
-------  ----------  ------------  -----------  ----------  ------------  ------
      1      0.3320        0.6883       0.1028      0.3209        0.6592  7.2064
      2      0.3883        0.6899       0.1056      0.3229        0.6595  7.1864
      3      0.3761        0.6972       0.1075      0.3251        0.6598  7.2085
      4      0.6056        0.6570       0.1095      0.3279        0.6600  7.2774
      5      0.4022        0.6899       0.1092      0.3281        0.6604  7.2773
      6      0.3815        0.6920       0.1113      0.3312        0.6605  7.2652
      7      0.3789        0.6877       0.1139      0.3314        0.6610  7.2907
      8      0.3421        0.6865       0.1170      0.3341        0.6614  7.2609
      9      0.4924        0.6679       0.1212      0.3356        0.6615  7.2675
     10      0.5111        0.6913       0.1222      0.3365        0.6620  7.2563
     11      0.4630        0.6898       0.1269      0.3396        0.6619  7.2701
     12      0.3848        0.6746       0.1307      0.3437        0.6620  7.2616
     13      0.4750        0.6700       0.1325      0.3511        0.6624  7.3024
Stopping since valid_loss has not improved in the last 13 epochs.
Accuracy after query 1: 0.13020833333333334
F1 Score after query 1: 0.32501040446456503

Query 2: Using the exact images and labels from the CSV for this iteration.
Re-initializing module.
Re-initializing criterion.
Re-initializing optimizer.
  epoch    train_f1    train_loss    valid_acc    valid_f1    valid_loss     dur
-------  ----------  ------------  -----------  ----------  ------------  ------
      1      0.4875        0.6657       0.1464      0.3678        0.6619  7.3183
      2      0.4859        0.6651       0.1521      0.3755        0.6613  7.3033
      3      0.5409        0.6645       0.1559      0.3848        0.6610  7.3246
      4      0.4748        0.6778       0.1601      0.3960        0.6604  7.3085
      5      0.4480        0.6661       0.1625      0.4037        0.6601  7.3358
      6      0.5356        0.6706       0.1642      0.4087        0.6598  7.3283
      7      0.4649        0.6713       0.1663      0.4151        0.6592  7.3163
      8      0.5158        0.6668       0.1684      0.4168        0.6586  7.3439
      9      0.5670        0.6678       0.1691      0.4189        0.6582  7.3336
     10      0.5279        0.6670       0.1701      0.4230        0.6575  7.3370
     11      0.5427        0.6608       0.1708      0.4249        0.6571  7.3215
     12      0.5088        0.6575       0.1714      0.4297        0.6567  7.3142
     13      0.4535        0.6699       0.1720      0.4313        0.6559  7.3255
     14      0.4934        0.6566       0.1727      0.4347        0.6552  7.3243
     15      0.4440        0.6632       0.1752      0.4427        0.6550  7.3292
