Iteration,Accuracy,F1 Score
1,0.11805555555555555,0.38939340669844263
2,0.4560763888888889,0.16552409696272877
3,0.4756944444444444,0.19671422395157803
4,0.5907986111111111,0.5434921325862384
5,0.7267361111111111,0.8446576641496475
6,0.7277777777777777,0.8474785933531036
7,0.7446180555555556,0.8567464789381191
8,0.7588541666666667,0.8595357341133987
9,0.8005208333333333,0.900576487375001
10,0.8203125,0.9086008007209331
11,0.8170138888888889,0.9068006876523714
12,0.8197916666666667,0.9098319886396204
13,0.8152777777777778,0.9088833600073377
14,0.8270833333333333,0.9129807176835367
