epoch,train_f1,train_loss,valid_acc,valid_f1,valid_loss,dur
1,0.125,2.107740640640259,0.13819444444444445,0.13819444444444445,2.070974346664217,11.90626573562622
2,0.375,1.9482078552246094,0.16822916666666668,0.16822916666666668,2.0766891737778983,10.560779333114624
3,0.375,1.9746239185333252,0.08784722222222222,0.08784722222222222,2.089387421972222,10.29226565361023
4,0.25,1.9569048881530762,0.0842013888888889,0.0842013888888889,2.0905399734775227,10.796998500823975
5,0.75,1.7370388507843018,0.12083333333333333,0.12083333333333333,2.1113152806957562,10.671776294708252
6,0.75,1.649302363395691,0.11510416666666666,0.11510416666666666,2.1137550077504583,10.425031900405884
7,0.75,1.5039020776748657,0.12395833333333334,0.12395833333333334,2.105434276163578,10.766654014587402
8,0.75,1.5832113027572632,0.15121527777777777,0.15121527777777777,2.0993268094129034,10.962504863739014
9,0.875,1.534287929534912,0.14201388888888888,0.14201388888888888,2.104077100753784,10.845042705535889
10,1.0,1.5615191459655762,0.1371527777777778,0.1371527777777778,2.108652353286743,11.07659912109375
11,0.625,1.649449348449707,0.1421875,0.1421875,2.1061005878779624,10.827425479888916
1,0.5416666666666666,1.7439802487691243,0.44305555555555554,0.44305555555555554,1.7639172269238366,10.780494689941406
2,0.7083333333333334,1.2822637557983398,0.47465277777777776,0.47465277777777776,1.7933349954585234,10.760279417037964
3,0.875,1.0484849413235982,0.46145833333333336,0.46145833333333336,1.7738553432954682,10.876304864883423
4,0.9583333333333334,0.9503303170204163,0.4543402777777778,0.45434027777777775,1.7912383000883791,10.545943975448608
5,0.875,0.8838438987731934,0.46284722222222224,0.46284722222222224,1.785074231111341,10.754663467407227
6,0.9166666666666666,0.7728457649548849,0.4717013888888889,0.4717013888888889,1.7809865322377947,10.987353801727295
7,0.9166666666666666,0.8011455635229746,0.46822916666666664,0.46822916666666664,1.7797142569389608,10.554561138153076
8,0.9583333333333334,0.7718127767244974,0.4654513888888889,0.4654513888888889,1.7809671064217885,10.603628873825073
9,0.9583333333333334,0.7514044841130575,0.4640625,0.4640625,1.779077082955175,10.74751877784729
10,0.9166666666666666,0.7571993668874105,0.4597222222222222,0.4597222222222222,1.7821721490886477,10.922060251235962
11,0.9583333333333334,0.7274660567442576,0.459375,0.459375,1.7811824650400214,10.953255414962769
1,0.44642857142857145,1.6539859856878008,0.4670138888888889,0.4670138888888889,1.732277873903513,10.644509315490723
2,0.5714285714285714,1.4254378931862968,0.4625,0.4625,1.7137492010162936,10.890502691268921
3,0.7142857142857143,1.2284850307873316,0.459375,0.459375,1.680524184803168,10.655954599380493
4,0.7678571428571429,1.0996242335864477,0.46631944444444445,0.46631944444444445,1.6413854017853737,11.056313276290894
5,0.8214285714285714,0.9986126678330558,0.45503472222222224,0.45503472222222224,1.6588999978370136,11.04012942314148
6,0.8035714285714286,0.9682273013251168,0.4708333333333333,0.4708333333333333,1.6426744807097646,11.015367984771729
7,0.8214285714285714,0.990628889628819,0.47152777777777777,0.47152777777777777,1.6375199971099694,11.046729564666748
8,0.8035714285714286,0.9047573975154332,0.4722222222222222,0.4722222222222222,1.636409137232436,10.870113611221313
9,0.8214285714285714,0.9409600836890084,0.4730902777777778,0.4730902777777778,1.639053009202083,10.962689638137817
10,0.8214285714285714,0.8747434530939374,0.4732638888888889,0.4732638888888889,1.6381519142124388,10.852751016616821
11,0.8214285714285714,0.8797343799046108,0.4730902777777778,0.4730902777777778,1.6382970140212112,10.77808666229248
12,0.875,0.8087164035865239,0.47274305555555557,0.47274305555555557,1.6392193701532152,10.77544355392456
13,0.8214285714285714,0.8881935008934566,0.47291666666666665,0.47291666666666665,1.6370407911638418,10.835085391998291
14,0.8035714285714286,0.8867169192859105,0.47256944444444443,0.47256944444444443,1.63664850509829,10.828261375427246
15,0.8214285714285714,0.882943217243467,0.47291666666666665,0.47291666666666665,1.6371006588141124,10.932492971420288
16,0.8214285714285714,0.8371250373976571,0.47291666666666665,0.47291666666666665,1.636958573013544,10.7749183177948
17,0.8571428571428571,0.8699587498392377,0.47291666666666665,0.47291666666666665,1.6367154333326552,10.63548755645752
18,0.8392857142857143,0.8426440613610404,0.47291666666666665,0.47291666666666665,1.6364923387765884,10.925360679626465
1,0.5982142857142857,1.3932200712817056,0.4470486111111111,0.4470486111111111,1.4817816158963575,11.358486413955688
2,0.6785714285714286,1.13480167729514,0.5039930555555555,0.5039930555555555,1.4416586836179097,11.059304237365723
3,0.8125,0.9939372028623309,0.4835069444444444,0.4835069444444444,1.4718469982345899,11.162622213363647
4,0.8482142857142857,0.8914830578224999,0.5227430555555556,0.5227430555555556,1.4311238971849283,11.188822746276855
5,0.8482142857142857,0.877822356564658,0.5144097222222223,0.5144097222222223,1.4324622722963491,11.088001728057861
6,0.8928571428571429,0.782760392342295,0.5085069444444444,0.5085069444444444,1.425310456338856,11.05434536933899
7,0.8660714285714286,0.7592056819370815,0.5112847222222222,0.5112847222222222,1.4238967580927744,11.297674179077148
8,0.9017857142857143,0.7296400346926281,0.5111111111111111,0.5111111111111111,1.418375959661272,10.986015796661377
9,0.9196428571428571,0.7422093174287251,0.5098958333333333,0.5098958333333333,1.4185031731095579,10.93690538406372
10,0.9196428571428571,0.704064816236496,0.5072916666666667,0.5072916666666667,1.418329370352957,11.386804342269897
11,0.9017857142857143,0.7148426004818508,0.5060763888888888,0.5060763888888888,1.4207763748864333,10.921530485153198
12,0.9196428571428571,0.7178207763603756,0.5045138888888889,0.5045138888888889,1.4203740469283528,11.040321111679077
13,0.8928571428571429,0.7346517805542264,0.5045138888888889,0.5045138888888889,1.420807658467028,10.80494213104248
